franchise_id,team,current_team,current_mascott,division,conference,FBS,color,alt_color,logo,class,team_name
300,CAST,Stanford,Cardinal,North,PAC-12,1,#A80532,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,Power 5,STANFORD
304,NYSY,Syracuse,Orange,Atlantic,ACC,1,#F37321,#0d1d37,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,Power 5,SYRACUSE
305,TXCU,TCU,Horned Frogs,NA,Big-12,1,#3C377D,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,Power 5,TCU
306,PATE,Temple,Owls,East,AAC,1,#A80532,#a7a9ac,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,Group of 5,TEMPLE
307,TNUN,Tennessee,Volunteers,East,SEC,1,#EE9627,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Power 5,TENNESSEE
311,TXUN,Texas,Longhorns,NA,Big-12,1,#EE7524,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,Power 5,TEXAS
312,TXAM,Texas A&M,Aggies,West,SEC,1,#5C0025,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,Power 5,TEXAS A&M
314,TXSW,Texas State,Bobcats,West,Sun Belt,1,#4e1719,#b4975a,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,Group of 5,TEXAS ST
315,TXTC,Texas Tech,Red Raiders,NA,Big-12,1,#C80025,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,Power 5,TEXAS TECH
316,OHTO,Toledo,Rockets,West,MAC,1,#00488F,#ffd51d,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,Group of 5,TOLEDO
318,ALTR,Troy,Trojans,East,Sun Belt,1,#AE0210,#88898c,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,Group of 5,TROY
319,LATU,Tulane,Green Wave,West,AAC,1,#005837,#3baf29,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,Group of 5,TULANE
320,OKTU,Tulsa,Golden Hurricane,West,AAC,1,#004371,#ee3b33,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,Group of 5,TULSA
321,ALBI,UAB,Blazers,West,Conference USA,1,#003b28,#ffc845,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,Group of 5,UAB
323,FLCE,UCF,Knights,East,AAC,1,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,Group of 5,UCF
324,CALA,UCLA,Bruins,South,PAC-12,1,#005C8E,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,Power 5,UCLA
325,NVLV,UNLV,Rebels,West,MWC,1,#000000,#c2c4c6,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,Group of 5,UNLV
